AIK,AIKEN
AJX,AJAXDOWNS
ALB,ALBUQUERQUE
AQU,AQUEDUCT
ARP,ARAPAHOE
AP,ARLINGTON
ASD,ASSINIBOIA
ATH,ATLANTA
BEL,BELMONTPARK
BTP,BELTERRAPARK
BKF,BLACKFOOT
CAM,CAMDEN
CBY,CANTERBURYPARK
CAS,CASSIAFAIR
CTD,CENTURYDOWNS
CTM,CENTURYMILE
CT,CHARLESTOWN
CHA,CHARLESTON
CHL,CHARLOTTE
CHE,CHESHIRE
CPW,CHIPPEWADOWNS
CD,CHURCHILLDOWNS
DG,COCHISEFAIR
CNL,COLONIALDOWNS
PRV,CROOKEDRIVER
DMR,DELMAR
DEL,DELAWAREPARK
DED,DELTADOWNS
ELK,ELKOFAIR
ELP,ELLISPARK
EMD,EMERALDDOWNS
EVD,EVANGELINE
FG,FAIRGROUNDS
FAI,FAIRHILL
FMT,FAIRMEADOWS
FP,FAIRMOUNTPARK
FH,FARHILLS
FL,FINGERLAKES
FON,FONNERPARK
FE,FORTERIE
FTP,FORTPIERRE
FX,FOXFIELD
GV,GENESEEVALLEY
GIL,GILLESPIEFAIRGROUND
MID,GLENWOODPARKATMIDDLEBURG
GLN,GLYNDON
GG,GOLDENGATE
GN,GRANDNATIONAL
GPR,GRANDEPRAIRIE
GRP,GRANTSPASS
GRM,GREATMEADOW
GP,GULFSTREAMPARK
BRN,HARNEYCOUNTYFAIR
HST,HASTINGS
HAW,HAWTHORNE
IND,INDIANAGRANDRACECOURSE
JRM,JEROMEFAIR
KEE,KEENELAND
KD,KENTUCKYDOWNS
LBT,LAURELBROWN
LRL,LAURELPARK
LBG,LETHBRIDGE-RMTC
LEX,LEXINGTON
LS,LONESTAR
LA,LOSALAMITOS
LRC,LOSALAMITOSRACECOURSE
LAD,LOUISIANADOWNS
MVR,MAHONINGVALLEYRACECOURSE
MAL,MALVERN
MD,MARQUISDOWNS
MED,MEADOWLANDS
MC,MILESCITY
RUP,MINIDOKAFAIR
MON,MONKTON
MTH,MONMOUTHPARK
MTP,MONTPELIER
MNR,MOUNTAINEER
FAR,NORTHDAKOTA
OP,OAKLAWNPARK
ONE,ONEIDAFAIR
UN,OREGONLIVESTOCK
PRX,PARXRACING
PEN,PENNNATIONAL
UNI,PENNSYLVANIAHUNTCUP
PW,PERCYWARNER
PIM,PIMLICO
PMT,PINEMTN
PLN,PLEASANTON
POD,POCATELLODOWNS
PRM,PRAIRIEMEADOWS
PID,PRESQUEISLEDOWNS
RP,REMINGTONPARK
RET,RETAMAPARK
RIL,RILLITO
RUI,RUIDOSODOWNS
HOU,SAMHOUSTON
SDY,SANDYDOWNS
SA,SANTAANITA
SON,SANTACRUZ
SAR,SARATOGA
SHW,SHAWANDOWNS
SUD,SUNDOWNS
SUN,SUNLANDPARK
SWF,SWEETWATERDOWNS
TAM,TAMPABAY
TDN,THISTLEDOWN
TIL,TILLAMOOKFAIR
TIM,TIMONIUM
TRY,TRYON
TUP,TURFPARADISE
TP,TURFWAYPARK
WBR,WEBERDOWNS
ELY,WHITEPINERACING
WRD,WILLROGERS
WIL,WILLOWDALESTP
WNT,WINTERTHUR
WO,WOODBINE
WYO,WYOMINGDOWNS
ZIA,ZIAPARK
