shortName,fullName
SLR,SAN LUIS REY TRAINING CENTER
SDY,SANDY DOWNS
SA,SANTA ANITA PARK
SON,SANTA CRUZ COUNTY FAIR  SONOITA
SFE,SANTA FE
SR,SANTA ROSA
SAR,SARATOGA
SHW,SHAWAN DOWNS
SOL,SOLANO
SPT,SPORTSMANS PARK
STP,STAMPEDE PARK
STK,STOCKTON
STN,STONEYBROOK AT FIVE POINTS
SH,STRAWBERRY HILL
SUF,SUFFOLK DOWNS
N12,SUFFOLK NSA
SUD,SUN DOWNS
SND,SUNFLOWER
SUN,SUNLAND PARK
SRP,SUNRAY PARK
SWF,SWEETWATER DOWNS
TAM,TAMPA BAY DOWNS
TTC,THE THOROUGHBRED CENTER
WDS,THE WOODLANDS
TDN,THISTLEDOWN
TIL,TILLAMOOK COUNTY FAIR
TIM,TIMONIUM
TGD,TIOGA DOWNS
TRY,TRYON
TUP,TURF PARADISE
TP,TURFWAY PARK
WTS,WAITSBURG RACE TRACK
WW,WALLA WALLA
WBR,WEBER DOWNS
WMF,WESTERN MT FAIR
ELY,WHITE PINE RACING
WRD,WILL ROGERS DOWNS
WIL,WILLOWDALE STEEPLECHASE
WNT,WINTERTHUR
WO,WOODBINE
WYO,WYOMING DOWNS
YM,YAKIMA MEADOWS
YAV,YAVAPAI DOWNS
YD,YELLOWSTONE DOWNS
ZIA,ZIA PARK
PMT,PINE MTNCALLAWAY GARDEN
UN,EASTERN OREGON LIVESTOCK SHO W
EDR,ENERGY DOWNS
