track,date,url
TUP,04/14/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TUP&CTRY=USA&DT=04/14/2022&DAY=D&STYLE=EQB
AQU,04/15/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=AQU&CTRY=USA&DT=04/15/2022&DAY=D&STYLE=EQB
EVD,04/15/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=EVD&CTRY=USA&DT=04/15/2022&DAY=D&STYLE=EQB
FON,04/15/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=FON&CTRY=USA&DT=04/15/2022&DAY=D&STYLE=EQB
GG,04/15/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GG&CTRY=USA&DT=04/15/2022&DAY=D&STYLE=EQB
GP,04/15/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GP&CTRY=USA&DT=04/15/2022&DAY=D&STYLE=EQB
CT,04/15/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CT&CTRY=USA&DT=04/15/2022&DAY=D&STYLE=EQB
KEE,04/15/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=KEE&CTRY=USA&DT=04/15/2022&DAY=D&STYLE=EQB
LRL,04/15/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=LRL&CTRY=USA&DT=04/15/2022&DAY=D&STYLE=EQB
MVR,04/15/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=MVR&CTRY=USA&DT=04/15/2022&DAY=D&STYLE=EQB
OP,04/15/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=OP&CTRY=USA&DT=04/15/2022&DAY=D&STYLE=EQB
RP,04/15/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=RP&CTRY=USA&DT=04/15/2022&DAY=D&STYLE=EQB
SA,04/15/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=SA&CTRY=USA&DT=04/15/2022&DAY=D&STYLE=EQB
TAM,04/15/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TAM&CTRY=USA&DT=04/15/2022&DAY=D&STYLE=EQB
AQU,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=AQU&CTRY=USA&DT=04/16/2022&DAY=D&STYLE=EQB
CMR,04/16/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CMR&CTRY=PR&DT=04/16/2022&DAY=D&STYLE=EQB
